nome,eps
IDOLiSH7 Second Beat!,TV (15 eps)
Interstella5555: The 5tory of The 5ecret 5tar 5ystem,Movie (1 eps)
Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,TV (13 eps)
Lupin III: Part 5,TV (24 eps)
Nisemonogatari,TV (11 eps)
Nodame Cantabile: Paris-hen,TV (11 eps)
Princess Tutu,TV (38 eps)
Shokugeki no Souma,TV (24 eps)
Spy x Family Movie: Code: White,Movie (1 eps)
Working!!! Lord of the Takanashi,Special (1 eps)
Seirei no Moribito,TV (26 eps)
Shen Yin Wangzuo,ONA (26 eps)
Skip to Loafer,TV (12 eps)
Gankutsuou,TV (24 eps)
Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,Special (1 eps)
Given Movie 1,Movie (1 eps)
Golden Kamuy 4th Season,TV (13 eps)
Hinamatsuri,TV (12 eps)
Katekyou Hitman Reborn!,TV (203 eps)
Kaze Tachinu,Movie (1 eps)
Paripi Koumei,TV (12 eps)
Precure All Stars Movie F,Movie (1 eps)
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,TV (24 eps)
Kamisama Hajimemashita,TV (13 eps)
Kimetsu no Yaiba: Hashira Geiko-hen,TV (8 eps)
Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo 2nd Season,TV (? eps)
Kuragehime,TV (11 eps)
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,Movie (1 eps)
Meitantei Conan Movie 05: Tengoku e no Countdown,Movie (1 eps)
Meitantei Conan Movie 14: Tenkuu no Lost Ship,Movie (1 eps)
One Piece Film: Z,Movie (1 eps)
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,TV Special (1 eps)
Ookami to Koushinryou: Merchant Meets the Wise Wolf,TV (25 eps)
Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,ONA (6 eps)
Stand By Me Doraemon,Movie (1 eps)
Buddy Daddies,TV (12 eps)
Diamond no Ace,TV (75 eps)
Fullmetal Alchemist,TV (51 eps)
Initial D Fifth Stage,TV (14 eps)
Akatsuki no Yona OVA,OVA (3 eps)
Chuunibyou demo Koi ga Shitai! Movie: Take On Me,Movie (1 eps)
Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,Special (1 eps)
JoJo no Kimyou na Bouken Part 6: Stone Ocean,ONA (12 eps)
Kidou Senshi Gundam 00,TV (25 eps)
Kono Subarashii Sekai ni Shukufuku wo!,TV (10 eps)
Koukaku Kidoutai: Stand Alone Complex - Solid State Society,TV Special (1 eps)
Mahoutsukai no Yome: Hoshi Matsu Hito,OVA (3 eps)
Saint Seiya: The Lost Canvas - Meiou Shinwa 2,OVA (13 eps)
Tamayura: Sotsugyou Shashin Part 4 - Ashita,Movie (1 eps)
